Question,Type,Options,Answer
"Berapa tahun pengalaman kerjamu menggunakan query SQL?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"Berapa tahun pengalaman kerjamu sebagai programmer?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"Alat kontrol revisi apa saja di bawah ini yang bisa kamu gunakan?","checklist","IBM ClearCase | Apache Subversion (SVN) | TFS | GIT | Mercurial | CVS | Perforce | AccuRev | Tidak satupun","GIT"
"Software akuntansi apa saja di bawah ini yang bisa kamu gunakan?","checklist","Keysoft ERP | Accurate | Zahir | MYOB | Microsoft Dynamics | SAP Business One | Quickbooks | Oracle | Quicken | Sleekr | SQL | Tidak satupun","Tidak satupun"
"Bahasa pemrograman apa saja di bawah ini yang bisa kamu gunakan?","checklist",".NET | C | C# | C++ | CSS | HTML | Java | JavaScript | Objective-C | PHP | Python | Ruby | Swift | Visual Basic | Tidak satupun","CSS | HTML | JavaScript | PHP | Python"
"Sistem Relational Database Management (RDBMS) apa saja yang bisa kamu gunakan?","checklist","PostgreSQL | Oracle | DB2 | SQLite | Microsoft SQL | MySQL | Informix | Teradata | Sybase | Tidak satupun","PostgreSQL | SQLite | MySQL"
"Berapa tahun pengalaman kerjamu sebagai pengembang php?","dropdown","| Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"Bagaimana kamu menilai kemampuan bahasa Inggrismu?","checklist","Berbicara dengan mahir dalam situasi profesional | Menulis dengan mahir dalam situasi profesional | Kemahiran terbatas","Kemahiran terbatas"
"How many years' experience do you have as a Web Engineer?","dropdown","| No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Which of the following content management systems (CMS) do you have experience with?","checklist","Squiz | WordPress | Sitefinity | EpiServer | Umbraco | Matrix | Adobe CQ5 | Joomla | Drupal | FatWire | Sitecore | Vignette | Magento | SharePoint | None of these","None of these"
"How would you rate your English language skills?","checklist","Speaks proficiently in a professional setting | Writes proficiently in a professional setting | Limited proficiency","Limited proficiency"
"Which of the following front end development libraries and frameworks are you proficient in?","checklist","Backbone.js | Angular.js | D3.js | LESS | React.js | Bootstrap | Durandal | CanJS | jQuery | Ext JS | Node.js | SASS | Ember.js | Knockout | None of these","React.js | Bootstrap"
"Which of the following languages are you fluent in?","checklist","English | Indonesian | Mandarin | Japanese | French | German | Korean | Malaysian | Other (language not listed)","Indonesian"
"How many years' experience do you have using SQL queries?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Which of the following programming languages are you experienced in?","checklist",".NET | C | C# | C++ | CSS | HTML | Java | JavaScript | Objective-C | PHP | Python | Ruby | Swift | Visual Basic | None of these","CSS | HTML | JavaScript | PHP | Python"
"Which of the following Relational Database Management Systems (RDBMS) are you experienced with?","checklist","PostgreSQL | Oracle | DB2 | SQLite | Microsoft SQL | MySQL | Informix | Teradata | Sybase | None of these","PostgreSQL | SQLite | MySQL"
"Which of the following Microsoft Office products are you experienced with?","checklist","Publisher | Outlook | PowerPoint | OneNote | Access | Word | Excel | None of these","None of these"
"Berapa tahun pengalaman kerjamu sebagai Pengawas Pembangunan?","dropdown","| Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"Alat analisis data apa saja di bawah ini yang bisa kamu gunakan?","checklist","SAS | Statistica | Tableau | SPSS | RapidMiner | KNIME | Mathematica | R | SciPy | Excel | Matlab | Hadoop | SPSS Modeller (Clementine) | SQL | Tidak satupun","Excel | SQL"
"How many years' experience do you have as a Full Stack Software Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Library/framework front end apa saja di bawah ini yang bisa kamu gunakan?","checklist","Backbone.js | Angular.js | D3.js | LESS | React.js | Bootstrap | Durandal | CanJS | jQuery | Ext JS | Node.js | SASS | Ember.js | Knockout | Tidak satupun","React.js | Bootstrap"
"Are you available to travel for this role when required?","checklist","Yes, domestic travel | Yes, international travel | No","No"
"How many years' experience do you have in the financial services industry?","dropdown","| No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a .Net SQL Developer?","dropdown","| No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Java Software Engineer?","dropdown","| No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Python Developer?","dropdown","| No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa tahun pengalaman kerjamu sebagai programmer teknologi informasi?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"How many years' experience do you have as a software engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a web developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Software Development Manager?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa tahun pengalaman kerjamu di bidang pengembangan software?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"Berapa tahun pengalaman kerjamu di bidang pengembangan front end?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"Berapa tahun pengalaman kerjamu sebagai Kepala TI?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"How many years' experience do you have as a Front End Specialist?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Front End Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as an information technology programmer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a software developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Which of the following revision control tools do you have experience using?","checklist","IBM ClearCase | Apache Subversion (SVN) | TFS | GIT | Mercurial | CVS | Perforce | AccuRev | None of these","GIT"
"How many years' experience do you have as an IT System Executive?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a frontend developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a .net developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Berapa tahun pengalaman kerjamu sebagai pengembang frontend?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"How many years' experience do you have as a Mobile Application Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Bahasa apa saja di bawah ini yang fasih kamu gunakan?","checklist","Bahasa Inggris | Bahasa Indonesia | Bahasa Mandarin | Bahasa Jepang | Bahasa Prancis | Bahasa Jerman | Bahasa Korea | Bahasa Malaysia | Lainnya (bahasa tidak ada dalam daftar)","Bahasa Indonesia"
"Berapa tahun pengalaman kerjamu sebagai pengembang software?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"How many years' experience do you have as a Java Applications Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a PHP Python Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a UI/UX Product Designer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a systems engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Kapan kamu dapat mulai bekerja?","radiobutton","Immediately | 2 weeks | 1 month | 2 months","Immediately"
"Seberapa mahir kamu dengan keahlian berikut ini? - Node.js","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - JavaScript","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - jQuery","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - MySQL","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - PostgreSQL","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - React.js","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Microsoft SQL Server","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Laravel","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - MongoDB","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - C++","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Berapa lama pengalaman yang kamu miliki sebagai Full Stack Developer?","radiobutton","Tidak Berpengalaman | <1 thn | 1 - 3 thn | 3 - 5 thn | 5 - 10 thn | 10+ thn","1 - 3 thn"
"Seberapa mahir kamu dengan keahlian berikut ini? - TypeScript","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Next.JS","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Apakah kamu tinggal di Jakarta Utara pada saat ini?","radiobutton","Ya | Tidak","Tidak"
"Bersedia untuk bekerja Di Lokasi?","radiobutton","Ya | Tidak","Ya"
"Seberapa mahir kamu dengan bahasa berikut? - Inggris","radiobutton","Tidak | Menengah | Profesional | Mahir-Fasih","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Vue.js","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - CRM","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"What is your latest GPA?","text","","3.71"
"We need to fill this position urgently. Can you join immediately?","text","","Yes"
"Do you agree with range salary in this vacancy?","text","","Yes, I agree with the salary range offered."
"Apakah pernah melakukan raw query untuk penarikan data dari database?","text","","Ya, pernah melakukan raw query untuk mengambil dan mengolah data dari database."
"Ekspektasi gaji yang diinginkan untuk posisi ini","text","","4500000"
"Beberapa HRD ingin tau di mana kamu tinggal saat ini","text","","Saat ini saya berdomisili di Gresik (Desa Banjaran RT 03 RW 03, Wringinanom, Gresik) dan siap untuk bekerja baik secara on-site, hybrid, maupun remote."
"Apakah kamu tinggal di Jakarta Selatan pada saat ini?","radiobutton","Ya | Tidak","Tidak"
"Seberapa mahir kamu dengan keahlian berikut ini? - Go / Golang","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Java","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - openclaw","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - PHP","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Spring Boot","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - SQL","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Linux","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Since this position involves working in an English-speaking environment on a daily basis, could you please self-rate your English proficiency from 1 to 10?","text","","6"
"Seberapa mahir kamu dengan keahlian berikut ini? - Model-View-Controller (MVC)","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"How much experience do you have in the following industry? - Food Production","radiobutton","Tidak Berpengalaman | <1 thn | 1 - 3 thn | 3 - 5 thn | 5 - 10 thn | 10+ thn","Tidak Berpengalaman"
"How much experience do you have in the following industry? - Food & Beverages","radiobutton","Tidak Berpengalaman | <1 thn | 1 - 3 thn | 3 - 5 thn | 5 - 10 thn | 10+ thn","Tidak Berpengalaman"
"Tuliskan Tools yang biasa anda gunakan dalam semua bagian di FULLSTACK DEVELOPER","text","","Laravel, PHP, Node.js, JavaScript, TypeScript, Python, React, Next.js, Svelte, Vue.js, Flutter, React Native, Electron, HTML5, CSS3, Tailwind CSS, Bootstrap, REST API, WebSocket, Express.js, FastAPI, MySQL, PostgreSQL, MongoDB, SQLite, Redis, Git, GitHub, GitLab, Docker, Postman, Web Automation, Web Scraping, Reverse Engineering, Chrome Extension, Android Development"
"Apakah anda memiliki pengalaman menggunakan Jquery? jelaskan project yang pernah menggunakaan tools tersebut","text","","Belum memiliki pengalaman langsung menggunakan jQuery dalam proyek profesional. Pengalaman utama saya menggunakan JavaScript modern, React, Vue.js, dan framework frontend lainnya."
"Apakah anda memiliki pengalaman dalam pengelolaan klien dari pemerintahan?","text","","Belum memiliki pengalaman dalam pengelolaan klien dari pemerintahan."
"Apakah kamu tinggal di Jakarta Pusat pada saat ini?","radiobutton","Ya | Tidak","Tidak"
"Seberapa mahir kamu dengan keahlian berikut ini? - React Native","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Java Springboot","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Redis","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Kafka","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"How much experience do you have in the following industry? - Banking","radiobutton","Tidak Berpengalaman | <1 thn | 1 - 3 thn | 3 - 5 thn | 5 - 10 thn | 10+ thn","Tidak Berpengalaman"
"How much experience do you have in the following industry? - Insurance","radiobutton","Tidak Berpengalaman | <1 thn | 1 - 3 thn | 3 - 5 thn | 5 - 10 thn | 10+ thn","Tidak Berpengalaman"
"How much experience do you have in the following industry? - Financial Services","radiobutton","Tidak Berpengalaman | <1 thn | 1 - 3 thn | 3 - 5 thn | 5 - 10 thn | 10+ thn","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - GIT","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Web Development","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Have you ever worked directly with founders/C-Level before?","text","","No"
"How much is your (gross) salary expectation monthly in IDR?","text","","4500000"
"Apakah bersedia dengan range salary tersebut?","text","","Ya"
"Apakah bersedia penempatan di client Banking Industry dengan sistem PKWT [Contract under Sigmatech]?","text","","Ya"
"Apakah bersedia join secara ASAP atau ada notice periode tertentu?","text","","Bersedia join ASAP"
"Seberapa mahir kamu dengan keahlian berikut ini? - Spring Framework","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Angular.js","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Can you join immediately?","text","","Yes"
"Our client requires candidates who are willing to work in an English-speaking environment. Are you comfortable speaking English in daily work life?","text","","Yes, I am comfortable working in an English-speaking environment."
"Berapa lama pengalaman yang kamu miliki sebagai Backend Developer?","radiobutton","Tidak Berpengalaman | <1 thn | 1 - 3 thn | 3 - 5 thn | 5 - 10 thn | 10+ thn","1 - 3 thn"
"Apa pendidikan terakhir? Apakah sudah lulus?","text","","SMA/SMK, sudah lulus."
"Apakah bersedia untuk WFO (Work From Office) di Jakarta Pusat?","text","","Bersedia, dengan pembahasan lebih lanjut mengenai relokasi ke Jakarta Pusat."
"Seberapa mahir kamu dengan keahlian berikut ini? - HTML","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Ahli"
"Seberapa mahir kamu dengan keahlian berikut ini? - Php Frameworks","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Ahli"
"Seberapa mahir kamu dengan keahlian berikut ini? - Html5","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Ahli"
"Seberapa mahir kamu dengan keahlian berikut ini? - Plugins","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Api Integration","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Ahli"
"Seberapa mahir kamu dengan keahlian berikut ini? - Jason","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Ahli"
"Seberapa mahir kamu dengan keahlian berikut ini? - Ajax","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"How many years' experience do you have as an Umbraco Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a DevOps Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a C# Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Blockchain Architect?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Blockchain Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Web3 Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Project Team Leader?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a programmer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Cloud Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as an Information Technology Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Are you willing to work on a contract basis?","text","","Yes"
"Are you able to do the interview in English? Do not continue to apply if you can't speak English.","text","","Yes"
"What is your current salary in IDR?","text","","Tidak dicantumkan"
"Berapa lama pengalaman menggunakan ReactJS di dunia profesional?","text","","1 tahun"
"Berapa lama pengalaman menggunakan Golang di dunia profesional?","text","","0"
"Berapa expected gaji mu?","text","","4500000"
"Seberapa mahir kamu dengan keahlian berikut ini? - Webpack","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Phyton","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - ECMAScript 6 (ES6)","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Scala","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"How much experience do you have in the following industry? - Computer Software","radiobutton","Tidak Berpengalaman | <1 thn | 1 - 3 thn | 3 - 5 thn | 5 - 10 thn | 10+ thn","1 - 3 thn"
"How much experience do you have in the following industry? - Information Technology and Services","radiobutton","Tidak Berpengalaman | <1 thn | 1 - 3 thn | 3 - 5 thn | 5 - 10 thn | 10+ thn","1 - 3 thn"
"Seberapa mahir kamu dengan keahlian berikut ini? - .NET CORE","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Postman Software","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Berapa Gaji yang Anda Harapkan?","text","","4500000"
"How much is your current salary?","text","","Tidak ada"
"How much is your expectation salary?","text","","4500000"
"Seberapa mahir kamu dengan keahlian berikut ini? - .NET","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - REST API","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Apakah Anda setuju dengan rentang gaji yang ditampilkan dalam lowongan pekerjaan ini?","text","","Tidak dapat ditentukan tanpa informasi rentang gaji"
"Berapa lama pengalaman professional Anda sbg .Net Developer?","text","","0"
"Berapa IPK terakhir di ijazah?","text","","3.71"
"Berapa eskpektasi gaji yang diinginkan?","text","","4500000"
"Apakah sebelumnya memiliki pengalaman terkait ISO 8583","text","","Tidak"
"Infokan Ketersediaan Anda (ASAP / 1 Month Notice)","text","","ASAP"
"Apakah memiliki sertifikasi (di luar Ijazah) yang terkait dengan posisi tersebut?","text","","Tidak memiliki sertifikasi terkait di luar ijazah."
"Berapa lama memiliki pengalaman sebagai Middleware Engineer?","text","","0"
"Seberapa mahir kamu dengan keahlian berikut ini? - Docker","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Gin","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Seberapa mahir kamu dengan keahlian berikut ini? - Amazon Web Services (AWS)","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Tidak Berpengalaman"
"Berapa tahun pengalaman Anda menggunakan Go atau Node.js (TypeScript) dalam lingkungan produksi (production)? Sebutkan framework yang paling sering Anda gunakan!","text","","1 tahun menggunakan Node.js dalam lingkungan produksi; framework yang paling sering digunakan adalah Express.js."
